FID,sa4_code21,sa4_name21,sa4,week,resp_n_1920,resp_rate_1920,resp_n_1419,resp_rate_1419,asth_n_1920,asth_rate_1920,asth_n_1419,asth_rate_1419,copd_n_1920,copd_rate_1920,copd_n_1419,copd_rate_1419,bre_n_1920,bre_rate_1920,bre_n_1419,bre_rate_1419,hea_n_1920,hea_rate_1920,hea_n_1419,hea_rate_1419,heaa_n_1920,heaa_rate_1920,heaa_n_1419,heaa_rate_1419,cere_n_1920,cere_rate_1920,cere_n_1419,cere_rate_1419,ches_n_1920,ches_rate_1920,ches_n_1419,ches_rate_1419,men_n_1920,men_rate_1920,men_n_1419,men_rate_1419,burn_n_1920,burn_rate_1920,burn_n_1419,burn_rate_1419,deh_n_1920,deh_rate_1920,deh_n_1419,deh_rate_1419
s4_geo.fid--2c346315_187d5bf56ff_5986,101,Capital Region,101,2019-09-01T00:00:00,227,99.67725372,262,113.9576416,28,12.29499245,19,8.26410294,10,4.39106846,13,5.65438652,16,7.02570963,20,8.69905663,71,31.17658615,68,29.57679176,5,NaN,10,4.34952831,NaN,NaN,6,NaN,99,43.47158051,80,34.7962265,75,32.93301392,119,51.75938416,10,4.39106846,7,NaN,16,7.02570963,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_5987,101,Capital Region,101,2019-09-08T00:00:00,251,110.21582031,244,106.12848663,28,12.29499245,25,10.8738203,12,5.26928234,14,6.08933926,21,9.22124386,16,6.95924473,70,30.73748016,63,27.40202713,8,NaN,16,6.95924473,7,NaN,7,NaN,79,34.68944168,107,46.53995132,121,53.1319313,127,55.23900604,22,9.6603508,11,4.78448105,7,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_5988,101,Capital Region,101,2019-09-15T00:00:00,235,103.19010925,260,113.08773041,14,6.14749622,13,5.65438652,5,NaN,13,5.65438652,17,7.46481657,11,4.78448105,64,28.10283852,61,26.53212166,7,NaN,6,NaN,7,NaN,8,NaN,89,39.08050919,114,49.58462143,120,52.6928215,137,59.58853531,26,11.41677761,12,5.21943378,10,4.39106846,5,NaN
s4_geo.fid--2c346315_187d5bf56ff_5989,101,Capital Region,101,2019-09-22T00:00:00,237,104.06832886,270,117.43726349,20,8.78213692,20,8.69905663,12,5.26928234,8,NaN,19,8.34302998,22,9.5689621,66,28.9810524,86,37.40594101,NaN,NaN,11,4.78448105,NaN,NaN,9,NaN,66,28.9810524,98,42.62537384,111,48.74085999,141,61.32834625,16,7.02570963,15,6.52429199,14,6.14749622,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_598a,101,Capital Region,101,2019-09-29T00:00:00,223,97.92082977,295,128.31108093,18,7.90392351,26,11.30877304,10,4.39106846,10,4.34952831,21,9.22124386,22,9.5689621,69,30.29837227,63,27.40202713,9,NaN,5,NaN,11,4.8301754,10,4.34952831,88,38.6414032,78,33.92631912,85,37.32408142,130,56.5438652,23,10.09945774,12,5.21943378,10,4.39106846,8,NaN
s4_geo.fid--2c346315_187d5bf56ff_598b,101,Capital Region,101,2019-10-06T00:00:00,199,87.38226318,221,96.12457275,18,7.90392351,18,7.82915068,5,NaN,NaN,NaN,20,8.78213692,27,11.74372578,48,21.07712936,59,25.66221619,8,NaN,6,NaN,15,6.58660269,15,6.52429199,88,38.6414032,112,48.71471405,91,39.95872498,144,62.63320541,17,7.46481657,13,5.65438652,5,NaN,9,NaN
s4_geo.fid--2c346315_187d5bf56ff_598c,101,Capital Region,101,2019-10-13T00:00:00,219,96.16439819,190,82.64102936,20,8.78213692,10,4.34952831,9,NaN,7,NaN,14,6.14749622,20,8.69905663,61,26.78551865,73,31.75155449,14,6.14749622,11,4.78448105,6,NaN,13,5.65438652,79,34.68944168,103,44.80014038,100,43.91068649,118,51.32443237,18,7.90392351,15,6.52429199,6,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_598d,101,Capital Region,101,2019-10-20T00:00:00,158,69.37888336,212,92.20999146,21,9.22124386,21,9.13400936,12,5.26928234,13,5.65438652,22,9.6603508,20,8.69905663,84,36.88497543,61,26.53212166,9,NaN,8,NaN,12,5.26928234,5,NaN,67,29.42015839,91,39.58070374,84,36.88497543,116,50.45452499,28,12.29499245,10,4.34952831,7,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_598e,101,Capital Region,101,2019-10-27T00:00:00,160,70.25709534,203,88.29541779,15,6.58660269,25,10.8738203,12,5.26928234,11,4.78448105,10,4.39106846,10,4.34952831,59,25.90730476,59,25.66221619,10,4.39106846,7,NaN,NaN,NaN,7,NaN,85,37.32408142,90,39.14575195,92,40.39783096,135,58.71862793,12,5.26928234,11,4.78448105,9,NaN,NaN,NaN
s4_geo.fid--2c346315_187d5bf56ff_598f,101,Capital Region,101,2019-11-03T00:00:00,188,82.55208588,206,89.60028076,29,12.73409939,25,10.8738203,11,4.8301754,7,NaN,19,8.34302998,16,6.95924473,59,25.90730476,64,27.83698082,16,7.02570963,7,NaN,5,NaN,14,6.08933926,97,42.59336472,108,46.97490311,80,35.12854767,122,53.06424332,18,7.90392351,6,NaN,12,5.26928234,10,4.34952831
s4_geo.fid--2c346315_187d5bf56ff_5990,101,Capital Region,101,2019-11-10T00:00:00,170,74.64816284,207,90.03523254,22,9.6603508,22,9.5689621,7,NaN,10,4.34952831,14,6.14749622,17,7.39419746,68,29.85926628,58,25.2272625,14,6.14749622,6,NaN,6,NaN,16,6.95924473,91,39.95872498,92,40.01565933,101,44.34979248,125,54.36910248,19,8.34302998,10,4.34952831,6,NaN,17,7.39419746
s4_geo.fid--2c346315_187d5bf56ff_5991,101,Capital Region,101,2019-11-17T00:00:00,149,65.42692566,203,88.29541779,18,7.90392351,23,10.00391483,10,4.39106846,5,NaN,13,5.70838928,18,7.82915068,75,32.93301392,67,29.14183807,12,5.26928234,15,6.52429199,5,NaN,12,5.21943378,107,46.98443222,83,36.10108185,104,45.66711426,118,51.32443237,26,11.41677761,16,6.95924473,6,NaN,14,6.08933926
s4_geo.fid--2c346315_187d5bf56ff_5992,101,Capital Region,101,2019-11-24T00:00:00,170,74.64816284,195,84.8157959,22,9.6603508,28,12.17867947,8,NaN,14,6.08933926,17,7.46481657,20,8.69905663,69,30.29837227,76,33.05641174,14,6.14749622,10,4.34952831,7,NaN,9,NaN,86,37.76319122,100,43.49528122,85,37.32408142,117,50.88947678,11,4.8301754,13,5.65438652,7,NaN,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_5993,101,Capital Region,101,2019-12-01T00:00:00,189,82.99119568,199,86.55561066,26,11.41677761,25,10.8738203,17,7.46481657,7,NaN,14,6.14749622,17,7.39419746,52,22.83355713,52,22.61754608,13,5.70838928,5,NaN,8,NaN,9,NaN,80,35.12854767,99,43.06032944,109,47.86264801,124,53.93414688,15,6.58660269,15,6.52429199,10,4.39106846,10,4.34952831
s4_geo.fid--2c346315_187d5bf56ff_5994,101,Capital Region,101,2019-12-08T00:00:00,168,73.76995087,197,85.68569946,26,11.41677761,25,10.8738203,9,NaN,11,4.78448105,21,9.22124386,18,7.82915068,49,21.51623535,58,25.2272625,6,NaN,9,NaN,8,NaN,16,6.95924473,71,31.17658615,84,36.53603745,87,38.20229721,119,51.75938416,21,9.22124386,NaN,NaN,10,4.39106846,12,5.21943378
s4_geo.fid--2c346315_187d5bf56ff_5995,101,Capital Region,101,2019-12-15T00:00:00,133,58.40121078,210,91.34008789,16,7.02570963,28,12.17867947,7,NaN,10,4.34952831,19,8.34302998,16,6.95924473,49,21.51623535,66,28.70688438,7,NaN,7,NaN,13,5.70838928,9,NaN,87,38.20229721,75,32.62145996,100,43.91068649,141,61.32834625,13,5.70838928,10,4.34952831,10,4.39106846,14,6.08933926
s4_geo.fid--2c346315_187d5bf56ff_5996,101,Capital Region,101,2019-12-22T00:00:00,195,85.62583923,268,116.56735229,19,8.34302998,27,11.74372578,5,NaN,15,6.52429199,20,8.78213692,22,9.5689621,54,23.7117691,59,25.66221619,9,NaN,8,NaN,8,NaN,10,4.34952831,71,31.17658615,79,34.3612709,97,42.59336472,121,52.62929153,26,11.41677761,15,6.52429199,6,NaN,13,5.65438652
s4_geo.fid--2c346315_187d5bf56ff_5997,101,Capital Region,101,2019-12-29T00:00:00,202,88.69958496,316,137.44508362,18,7.90392351,62,26.96707344,9,NaN,28,12.17867947,21,9.22124386,47,20.44278145,54,23.7117691,57,24.79231071,17,7.46481657,7,NaN,10,4.39106846,13,5.65438652,72,31.61569405,92,40.01565933,104,45.66711426,168,73.07207489,26,11.41677761,33,14.35344315,16,7.02570963,15,6.52429199
s4_geo.fid--2c346315_187d5bf56ff_5998,101,Capital Region,101,2020-01-05T00:00:00,130,57.08389282,243,105.69352722,17,7.46481657,39,16.96315956,5,NaN,27,11.74372578,12,5.26928234,31,13.48353672,62,27.22462463,56,24.35735703,12,5.26928234,9,NaN,10,4.39106846,6,NaN,99,43.47158051,88,38.27584839,103,45.22800446,123,53.4991951,13,5.70838928,19,8.26410294,9,NaN,14,6.08933926
s4_geo.fid--2c346315_187d5bf56ff_5999,101,Capital Region,101,2020-01-12T00:00:00,141,61.91406631,160,69.59244537,20,8.78213692,18,7.82915068,10,4.39106846,14,6.08933926,16,7.02570963,30,13.04858398,56,24.58998489,51,22.18259239,9,NaN,9,NaN,14,6.14749622,11,4.78448105,84,36.88497543,101,43.930233,98,43.0324707,101,43.930233,24,10.53856468,5,NaN,14,6.14749622,6,NaN
s4_geo.fid--2c346315_187d5bf56ff_599a,101,Capital Region,101,2020-01-19T00:00:00,154,67.62245941,160,69.59244537,13,5.70838928,15,6.52429199,10,4.39106846,14,6.08933926,21,9.22124386,15,6.52429199,53,23.27266312,51,22.18259239,8,NaN,13,5.65438652,13,5.70838928,19,8.26410294,78,34.25033569,104,45.23509216,107,46.98443222,112,48.71471405,15,6.58660269,15,6.52429199,21,9.22124386,15,6.52429199
s4_geo.fid--2c346315_187d5bf56ff_599b,101,Capital Region,101,2020-01-26T00:00:00,145,63.67049408,182,79.16140747,11,4.8301754,21,9.13400936,6,NaN,15,6.52429199,19,8.34302998,14,6.08933926,55,24.150877,46,20.00782967,NaN,NaN,5,NaN,NaN,NaN,16,6.95924473,83,36.44586945,78,33.92631912,118,51.81460953,117,50.88947678,27,11.85588455,17,7.39419746,9,NaN,10,4.34952831
