tot_non_indigenous_p, tot_tot_p, tot_indigenous_p, sa2_code_2021
16146,16835,198,"201011001"
11490,12131,125,"201011002"
6901,7261,83,"201011005"
10013,10661,232,"201011006"
4071,4230,85,"201011007"
14056,15333,439,"201011008"
6100,6559,74,"201021009"
7401,8085,122,"201021010"
9195,9955,81,"201021011"
5842,6372,97,"201021012"
3184,3532,46,"201031013"
4146,4644,101,"201031014"
4470,4894,79,"201031015"
7521,8160,208,"201031016"
4928,5526,105,"201031017"
13514,14929,452,"202011018"
11809,12949,488,"202011019"
13122,13988,240,"202011020"
8913,9437,173,"202011021"
19384,21043,523,"202011022"
5320,5518,78,"202011023"
10276,10719,103,"202011024"
13435,14446,371,"202011025"
7794,8344,125,"202021026"
10515,11352,153,"202021027"
8530,9225,123,"202021028"
4429,5062,85,"202021029"
9826,10562,96,"202021030"
7566,7949,45,"202021031"
4353,4934,111,"202031032"
6336,7289,162,"202031033"
7372,7754,104,"203011034"
7543,8111,103,"203011035"
6168,6614,58,"203011036"
14279,15017,204,"203021037"
12667,13504,159,"203021039"
20322,21200,221,"203021040"
23216,24034,114,"203021042"
19693,20817,424,"203021043"
12736,13272,160,"203021044"
14222,15462,302,"203021045"
10028,10445,78,"203021046"
14979,15795,194,"203021047"
16102,16797,228,"203031048"
5797,6234,28,"203031049"
8819,9536,86,"203031051"
5175,5519,19,"203031052"
23442,24607,151,"203031053"
6310,6828,114,"204011054"
6160,6922,125,"204011055"
14440,15563,303,"204011056"
9557,10517,111,"204011057"
4139,4537,81,"204011058"
5826,6569,211,"204011059"
4208,4645,120,"204011060"
186,238,8,"204011061"
3646,4182,79,"204011062"
9813,10822,218,"204021063"
3389,3781,65,"204021064"
3769,4047,90,"204021065"
18446,19882,440,"204021066"
9164,9925,119,"204021067"
4709,4986,49,"204031068"
8131,8903,68,"204031069"
2909,3184,53,"204031070"
4435,4745,72,"204031071"
5554,6196,112,"204031072"
14084,15396,548,"204031073"
4834,5221,87,"204031075"
18402,19773,357,"205011076"
6054,6585,48,"205011077"
7832,8368,76,"205011078"
21667,23051,244,"205011079"
0,0,0,"205021080"
13966,15684,750,"205021081"
7532,8290,150,"205021082"
0,0,0,"205021083"
9910,11164,332,"205021084"
5659,6727,352,"205021085"
6589,6977,95,"205021086"
8567,9446,126,"205031087"
126,139,0,"205031088"
9164,9842,131,"205031089"
10727,11502,97,"205031090"
12657,13799,134,"205031091"
12,16,0,"205031092"
24920,26792,334,"205031093"
10878,11912,236,"205041094"
15644,17291,453,"205041095"
12543,14432,442,"205041096"
4341,4707,91,"205041098"
19,23,0,"205051099"
4537,4915,67,"205051100"
13503,14756,242,"205051101"
4353,4928,123,"205051102"
14096,15301,388,"205051103"
5069,5605,97,"205051104"
12153,12738,108,"206011106"
13785,14318,112,"206011107"
10073,10390,56,"206011109"
8696,8994,45,"206021110"
18255,18919,149,"206021112"
14360,15191,86,"206031113"
8386,9065,70,"206031115"
15689,16224,64,"206031116"
15503,16655,95,"206041117"
14121,15493,50,"206041118"
4630,4896,12,"206041119"
78,77,0,"206041120"
10316,10745,63,"206041121"
6789,7297,93,"206041124"
5867,6423,43,"206041125"
0,0,0,"206041127"
15135,15825,45,"206051128"
13938,14818,55,"206051129"
15255,16192,82,"206051130"
14894,15813,74,"206051134"
8969,9336,23,"206061135"
18141,19119,94,"206061136"
12163,12953,27,"206061138"
8558,9088,56,"206071139"
7899,8186,29,"206071140"
8517,9179,71,"206071141"
9589,10431,58,"206071142"
12210,12781,79,"206071143"
9461,9855,53,"206071145"
7744,7952,35,"207011146"
