m_y8_below_indigenous, p_y10_equivalent_tot, p_y9_equivalent_tot, m_did_not_go_to_school_indig, p_y12_equivalent_non_indig, f_highest_yr_school_ns_indig, f_y12_equivalent_non_indig, f_did_not_go_to_school_tot, m_did_not_go_to_school_tot, f_y9_equiv_non_indig, f_y11_equiv_indigstat_ns, p_y11_equivalent_tot, gcc_name16, f_di_no_go_to_sch_indst_ns, m_y11_equivalent_tot, p_highe_yr_sch_ns_indst_ns, p_y10_equiv_indigstat_ns, p_y12_equivalent_tot, m_tot_indigstat_ns, p_y11_equiv_non_indig, m_y8_below_indigstat_ns, m_y10_equivalent_tot, m_di_no_go_to_sch_indst_ns, f_y11_equivalent_indigenous, f_y10_equivalent_indigenous, p_y8_below_non_indig, p_did_not_go_to_school_tot, f_y12_equivalent_indigenous, p_y11_equivalent_indigenous, f_tot_tot, m_y12_equiv_indigstat_ns, m_y8_below_tot, f_highest_yr_sch_ns_non_indig, f_y9_equiv_indigstat_ns, m_y12_equivalent_non_indig, m_y9_equivalent_indigenous, m_highest_yr_school_ns_indig, p_tot_tot, f_y10_equivalent_tot, f_tot_indigstat_ns, m_y12_equivalent_tot, m_y11_equiv_indigstat_ns, m_highest_yr_school_ns_tot, f_y11_equivalent_tot, f_y12_equiv_indigstat_ns, f_tot_non_indigenous, p_y8_below_tot, f_y11_equiv_non_indig, p_did_not_go_to_sch_non_indig, m_y10_equiv_non_indig, m_y8_below_non_indig, m_tot_non_indigenous, f_y10_equiv_non_indig, f_did_not_go_to_sch_non_indig, f_y9_equivalent_tot, f_y8_below_tot, p_highest_yr_sch_ns_non_indig, m_y9_equivalent_tot, m_highest_yr_sch_ns_non_indig, f_y8_below_indigenous, gcc_code16, p_y8_below_indigenous, m_tot_tot, m_y10_equiv_indigstat_ns, m_y9_equiv_indigstat_ns, p_highest_yr_school_ns_tot, m_highe_yr_sch_ns_indst_ns, m_y12_equivalent_indigenous, p_y12_equiv_indigstat_ns, p_tot_indigstat_ns, f_y9_equivalent_indigenous, p_di_no_go_to_sch_indst_ns, f_highe_yr_sch_ns_indst_ns, p_y10_equiv_non_indig, f_highest_yr_school_ns_tot, p_y12_equivalent_indigenous, p_y9_equiv_non_indig, m_tot_indigenous, m_y9_equiv_non_indig, f_y8_below_non_indig, m_y11_equivalent_indigenous, p_tot_indigenous, f_y10_equiv_indigstat_ns, m_y11_equiv_non_indig, p_did_not_go_to_school_indig, p_y9_equiv_indigstat_ns, f_did_not_go_to_school_indig, p_highest_yr_school_ns_indig, p_tot_non_indigenous, m_y10_equivalent_indigenous, f_y12_equivalent_tot, p_y9_equivalent_indigenous, p_y10_equivalent_indigenous, f_y8_below_indigstat_ns, p_y11_equiv_indigstat_ns, p_y8_below_indigstat_ns, f_tot_indigenous, m_did_not_go_to_sch_non_indig
4272,619671,171815,352,783315,2859,419874,4140,4317,79938,580,133469,"Rest of NSW",84,68062,128407,6101,811849,72566,124164,840,310286,99,4256,14487,103147,8455,13013,8057,1061355,2514,58661,38830,1023,363443,5582,4283,2069613,309392,72584,375958,659,106043,65404,3001,944409,112675,60564,7649,293540,53552,893682,291825,3781,86891,54015,76129,84931,37300,3549,"1RNSW",7823,1008256,3025,967,211681,64466,9998,5517,145148,5924,180,63946,585361,105635,23018,158322,42011,78385,49598,3805,86379,3078,63601,620,1992,268,7141,1838089,13716,435887,11510,28207,871,1239,1705,44365,3867
1345,623040,149183,192,2308515,1233,1183956,30588,22298,75767,494,150728,"Greater Sydney",236,79250,200179,4416,2334316,109417,146130,633,306335,186,1883,6662,147087,52886,8777,3568,1928068,4751,68361,48846,711,1124566,2253,1773,3758218,316705,109225,1136550,536,147021,71473,5033,1796352,151314,69096,52137,297848,66387,1699904,307770,30215,78859,82947,93556,70329,44712,1423,"1GSYD",2770,1830152,2144,631,296744,100538,7238,9789,218643,2378,423,99650,605623,149725,16012,143207,20825,67438,80698,1680,43317,2272,77035,325,1347,138,3003,3496258,6342,1197767,4638,13000,826,1032,1457,22488,21924
709,208368,87119,81,445595,481,248530,2901,3098,39275,768,174731,"Rest of Vic.",52,87735,73069,2305,452911,40743,171149,640,110547,61,1102,1637,71023,5991,2231,2035,577429,1523,36789,21839,577,197060,872,713,1121426,97826,42172,200245,789,59194,86999,1902,528225,73704,85130,5737,107747,35443,496682,95082,2783,40722,36910,44332,46399,22490,652,"2RVIC",1355,543992,1199,547,118593,35993,1665,3423,82912,870,115,37077,202822,59403,3892,84254,6564,44975,35582,931,13603,1105,86016,146,1122,61,1190,1024906,1598,252670,1742,3236,683,1552,1323,7033,2956
541,372611,140839,107,2145959,413,1120840,27968,20465,68025,1297,331399,"Greater Melbourne",295,170323,184065,3251,2163419,100897,326772,984,194786,224,1020,1518,176254,48435,3730,2098,1808002,5088,77395,45865,758,1025123,623,582,3507205,177827,103949,1033244,1228,131558,161079,5610,1696204,179553,158759,47738,191468,75868,1590695,174735,27607,69406,102165,85877,71435,40013,473,"2GMEL",1017,1699202,1670,741,270941,90964,3038,10697,204849,624,518,93104,366202,139387,6766,138097,7600,70073,100386,1070,15451,1577,168021,177,1500,65,996,3286902,1643,1130177,1245,3158,1303,2534,2286,7845,20133
1044,333784,60779,131,1014190,766,525270,5863,4949,28082,337,103150,"Greater Brisbane",91,53351,92171,2431,1033276,51046,99500,438,161275,48,1573,4254,72185,10814,7830,2928,902000,2260,34756,21944,302,488921,1301,1421,1754671,172510,50556,497821,385,69350,49796,2361,834730,75128,47886,10434,156231,33275,785842,166966,5663,29604,40372,43388,31174,21451,965,"3GBRI",2012,852677,1145,289,137746,46483,6639,4621,101601,1219,137,45688,323200,68391,14469,57675,15791,29592,38908,1356,32502,1283,51613,239,582,111,2181,1620570,3904,535460,2519,8156,501,724,939,16716,4769
3555,475213,91730,444,829938,2530,441532,3574,3899,39292,568,142527,"Rest of Qld",61,72421,136673,4079,862739,77897,132722,700,237397,92,4877,11166,94251,7481,15112,8689,958174,2444,52960,27223,492,388411,3359,3612,1877391,237819,71752,403327,547,100415,70103,2775,845972,102465,64653,6508,224928,48709,803619,224596,3145,42941,49502,52418,48794,25197,3237,"3RQLD",6790,919216,2019,497,195243,71602,12477,5216,149649,3152,154,65071,449520,94822,27582,84234,37701,44939,45538,3810,78148,2059,68066,815,988,371,6142,1649591,10448,459407,6515,21613,731,1114,1425,40448,3359
487,59297,19644,80,99951,599,55015,558,785,8336,300,62810,"Rest of SA",12,32873,17387,679,102877,10434,60260,197,31232,18,1041,1098,20149,1337,1191,1918,148897,426,11315,5540,130,44937,503,928,298385,28064,9878,46159,328,16391,29935,508,134151,21464,28593,1175,29809,10623,134310,26646,489,8911,10152,12037,10726,6497,440,"4RSAU",925,149491,359,137,30947,8971,798,936,20308,447,27,8418,56456,14556,1991,18433,4744,10095,9521,879,9611,320,31661,142,262,59,1521,268459,1069,56711,948,2169,196,632,389,4867,688
356,141465,40708,54,540885,360,282579,6014,4663,20364,569,160715,"Greater Adelaide",82,82839,44215,1237,547701,25224,157256,290,68517,57,1263,1217,48587,10680,2180,2277,528740,1447,22052,14205,267,258309,415,461,1022803,72943,25631,261473,606,34830,77875,1469,497327,49964,76045,10444,66795,21411,463671,71062,5889,21019,27915,26536,19693,12332,327,"4GADE",686,494066,566,215,71571,22037,1712,2916,50861,394,143,22178,137860,36738,3897,39424,5175,19065,27177,1016,10950,669,81217,98,484,46,820,960996,1155,286231,803,2365,406,1179,696,5783,4555
427,279897,50200,113,853869,791,442059,5608,4709,23742,414,129154,"Greater Perth",36,65426,85860,1989,863861,48638,125825,271,140699,55,1289,2780,44434,10313,3420,2508,768123,1818,21165,21174,247,411808,665,1716,1508901,139202,44825,416486,410,66741,63727,1889,713843,45845,62024,10025,137246,20468,682631,135380,5493,24636,24681,41261,25568,20085,450,"5GPER",878,740783,954,205,129637,44934,2861,3706,93467,641,95,40928,272629,62899,6284,48436,9509,24692,23967,1218,18964,1040,63804,195,458,81,2510,1396477,2503,447371,1309,5281,272,818,540,9457,4529
1216,105774,20105,285,153256,1629,80471,869,1038,7351,196,45852,"Rest of WA",12,23574,36856,1001,160740,22447,41473,121,57873,14,2218,4283,12975,1908,3429,3985,194174,559,8669,5540,112,72786,1191,2312,402921,47899,17471,76226,203,29859,22280,613,162543,15560,19860,1266,53425,7333,172730,43148,526,8599,6888,12178,11510,6645,1134,"5RWAU",2348,208747,536,117,52985,20900,2888,1172,39920,1138,28,15958,96573,23128,6312,17547,13573,10196,5646,1764,27739,467,21608,616,231,331,3947,335266,3911,84512,2331,8196,113,398,232,14160,737
