"id","date","vaccine","sentiment"
"1410547744117166082","20210701","none","neutral"
"1427055051994898433","20210815","none","positive"
"1438141595749011465","20210915","moderna","positive"
"1431118798556319750","20210827","",""
"1443751674401550337","20211001","none","neutral"
"1442906054858211333","20210928","",""
"1444484352352550915","20211003","none","neutral"
"1447404098387652608","20211011","none","neutral"
"1449352171414163459","20211016","none","neutral"
"1450691619401834496","20211020","none","neutral"
"1455377280633503748","20211102","none","neutral"
"1461998738033942533","20211120","none","neutral"
"1462579975119273984","20211122","moderna","positive"
"1458974469502898178","20211112","pfizer","positive"
"1462587114084876290","20211122","none","neutral"
"1463280797876555777","20211123","moderna","positive"
"1465503518773547012","20211130","moderna","positive"
"1469863179354140672","20211212","none","negative"
"1466333819095683080","20211202","",""
"1470309002667966464","20211213","none","neutral"
"1469662858900226051","20211211","",""
"1470570541530578945","20211214","none","neutral"
"1470639140505272323","20211214","none","neutral"
"1470652060282408962","20211214","none","neutral"
"1470942705198895107","20211215","none","neutral"
"1470973847788666882","20211215","none","neutral"
"1471728279111360512","20211217","moderna","positive"
"1471753116999569408","20211217","none","neutral"
"1472821180281225220","20211220","none","neutral"
"1472901288320925698","20211220","none","negative"
"1473453974384640000","20211222","pfizer","positive"
"1473503618020122629","20211222","none","neutral"
"1473577999899377664","20211222","moderna","positive"
"1473490866777985031","20211222","",""
"1473596341712396289","20211222","none","neutral"
"1473784527264702465","20211222","none","neutral"
"1473585974517006336","20211222","",""
"1473817016201261056","20211223","pfizer","positive"
"1473948344560984064","20211223","none","neutral"
"1473662041634205697","20211222","",""
"1474142192876732431","20211223","none","neutral"
"1474591366898278400","20211225","none","neutral"
"1474898829635776515","20211226","none","neutral"
"1475099800093659136","20211226","none","neutral"
"1476330324615262208","20211229","none","neutral"
"1476048125076770816","20211229","none","neutral"
"1476404142188888072","20211230","none","neutral"
"1476650225687482368","20211230","moderna","positive"
"1476741068787904513","20211231","none","neutral"
"1476534318738534402","20211230","",""
"1477097629792161794","20220101","none","neutral"
"1476744477674913792","20211231","",""
"1476766524417347586","20211231","",""
"1477128279584755712","20220101","none","neutral"
"1477174958069403648","20220101","none","neutral"
"1477221788488658944","20220101","none","neutral"
"1477250486046584832","20220101","none","negative"
"1477246765204004866","20220101","moderna","positive"
"1477253349825122305","20220101","moderna","positive"
"1477309062895206401","20220101","none","neutral"
"1477393183113826308","20220101","moderna","positive"
"1477407464207237125","20220101","none","negative"
"1477431091950604293","20220102","none","neutral"
"1477446954393112582","20220102","moderna","positive"
"1477469491848101888","20220102","none","negative"
"1477486621599559687","20220102","none","neutral"
"1477519156429746176","20220102","moderna","positive"
"1477531809256665089","20220102","none","neutral"
"1477456238627926018","20220102","",""
"1477750091758727169","20220102","none","neutral"
"1477758028350771200","20220102","none","neutral"
"1477780860157972485","20220102","none","neutral"
"1477788265755267073","20220102","none","neutral"
"1477795686796066818","20220103","none","negative"
"1477820948942184449","20220103","none","neutral"
"1477821717976285186","20220103","none","neutral"
"1477837154894200835","20220103","none","neutral"
"1477837944442404865","20220103","none","neutral"
"1477879098965839873","20220103","none","negative"
"1477972537145380864","20220103","none","negative"
"1478011078697095170","20220103","moderna","positive"
"1477895515253534727","20220103","",""
"1478072656515661824","20220103","none","neutral"
"1477988387701198851","20220103","",""
"1478122341049651200","20220103","none","neutral"
"1478124031735840769","20220103","none","neutral"
"1478130694203183107","20220103","none","neutral"
"1478144098838016003","20220103","none","neutral"
"1478145139528724482","20220103","none","negative"
"1478152375974051842","20220103","none","neutral"
"1478158583925657603","20220104","none","negative"
"1478183136659841028","20220104","none","neutral"
"1478157604442411009","20220104","none","neutral"
"1478193784928100354","20220104","none","neutral"
"1478197774420115457","20220104","none","neutral"
"1478204992758575105","20220104","none","negative"
"1478212646369316864","20220104","none","negative"
"1478230923791376387","20220104","pfizer","positive"
"1478240593188851713","20220104","none","negative"
"1478255405880934403","20220104","none","neutral"
"1478239200747016198","20220104","",""
"1478269587896426496","20220104","none","neutral"
"1478282352212144130","20220104","moderna","positive"
"1478302679755476993","20220104","none","neutral"
"1478304321901002752","20220104","none","negative"
"1478299573755932672","20220104","none","neutral"
